,csr,description,address,privilege_mode
Reset Value : , 
Bit#,Mode,Description
31:10,RW,reserved for future use
9:9,RW,Supervisorlevel external interrupts are disabled when the SEIE bit        
8:8,RW,User-level external interrupts are disabled when the UEIE bit in the sie register is clear.
7:6,RW,reserved for future use
5:5,RW,Supervisorlevel timer interrupts are disabled when the STIE bit in the sie register is clear.        
4:4,RW,User-level timer interrupts are disabled when the UTIE bit in the sie register is clear.        
3:2,RW,reserved for future use
1:1,RW,Supervisor-level software interrupts are disabled when the SSIE bit in the sie register is clear.
0:0,RW,User-level software interrupts are disabled when the USIE bit in the sie register is clear        


CSR : ,CSR_SIP
CSR Address : ,0x144
Reset Value : , 
Bit#,Mode,Description
31:10,RW,reserved for future use
9:9,RW,A supervisor-level external interrupt is pending if the SEIP bit in the sip register is set.
8:8,RW,UEIP may be written by S-mode software to indicate to U-mode that an external interrupt is pending.        
7:6,RW,reserved for future use
5:5,RW,A supervisor-level timer interrupt is pending if the STIP bit in the sip register is set
4:4,RW,A user-level timer interrupt is pending if the UTIP bit in the sip register is set
3:2,RW,reserved for future use
1:1,RW,A supervisor-level software interrupt is triggered on the current hart by writing 1 to its supervisor software interrupt-pending (SSIP) bit 
0:0,RW,A user-level software interrupt is triggered on the current hart by  riting 1 to its user software interrupt-pending (USIP) bit 


CSR : ,CSR_STVEC
CSR Address : ,0x105
Reset Value : , 
Bit#,Mode,Description
31:2,WARL,"The BASE field in stvec is a WARL field that can hold any valid virtual or physical address, subject to alignment constraints"
1:0,WARL,"When MODE=Direct, all traps into supervisor mode cause the pc to be set to the address in the BASE field. When MODE=Vectored, all synchronous exceptions into supervisor mode cause the pc to be set to the address in the BASE field, whereas interrupts cause the pc to be set to the address in the BASE field plus four times the interrupt cause number."


CSR : ,CSR_SCOUNTEREN
CSR Address : ,0x106
Reset Value : , 
Bit#,Mode,Description
31:3,RW,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted."
2:2,RW,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted"
1:1,RW,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted        "
0:0,RW,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted"


CSR : ,CSR_SSCRATCH
CSR Address : ,0x140
Reset Value : , 
Bit#,Mode,Description
31:0,RW,it is used to hold a pointer to the hart-local supervisor context while the hart is executing user code.


CSR : ,CSR_SEPC
CSR Address : ,0x141
Reset Value : , 
Bit#,Mode,Description
31:0,RW,"On implementations that support only IALIGN=32, the two low bits (sepc[1:0]) are always zero"


CSR : ,CSR_SCAUSE
CSR Address : ,0x142
Reset Value : , 
Bit#,Mode,Description
31:31,RW,The Interrupt bit in the scause register is set if the trap was caused by an interrupt.
30:0,WLRL,The Exception Code field contains a code identifying the last exception     


CSR : ,CSR_STVAL
CSR Address : ,0x143
Reset Value : , 
Bit#,Mode,Description
31:0,RW,"when a trap is taken into S-mode, stval is written with exception-specific information to assist software in handling the trap. "


CSR : ,CSR_SATP
CSR Address : ,0x180
Reset Value : , 
Bit#,Mode,Description
31:31,WARL,this selects the current address-translation scheme.        
30:22,WARL,"address space identifier, which facilitates address-translation fences on a per-address-space basis"
21:0,WARL,"physical page number (PPN), this holds the root page table "


CSR : ,CSR_MSTATUS
CSR Address : ,0x300
Reset Value : , 
Bit#,Mode,Description
31:31,RW,SD 
30:23,WPRI,reserved for future use 
22:22,RW,Trap SRET: supports intercepting the supervisor exception return instruction
21:21,RW,Timeout Wait: supports intercepting the WFI instruction 
20:20,RW,"Trap Virtual Memory,supports intercepting supervisor virtual-memory management operations."
19:19,RW,Make eXecutable Readable: modifies the privilege with which loads access virtual memory.        
18:18,RW,permit Supervisor User Memory access
17:17,RW,Modify PRiVilege 
16:15,RW,use to reduce the cost of context save and restore by setting and tracking the current state
14:13,RW,use to reduce the cost of context save and restore by setting and tracking the current state 
12:11,RW,"xPP fields can only hold privilege modes up to x, so MPP is two bits wide, SPP is one bit wide, and UPP is implicitly zero "
10:9,WPRI,reserved for future use 
8:8,RW,"xPP fields can only hold privilege modes up to x, so MPP is two bits wide, SPP is one bit wide, and UPP is implicitly zero  "
7:7,RW,MPIE       
6:6,WPRI,reserved for future use 
5:5,RW,indicates whether supervisor interrupts were enabled prior to trapping into supervisor mode        
4:4,RW,indicates whether user-level interrupts were enabled prior to taking a user-level trap
3:3,RW,Global interrupt-enable bits 
2:2,WPRI,reserved for future use 
1:1,RW,Global interrupt-enable bits 
0:0,RW,Global interrupt-enable bits 


CSR : ,CSR_MISA
CSR Address : ,0x301
Reset Value : , 
Bit#,Mode,Description
31:30,WARL,"Machine XLEN, field encodes the native base integer ISA width"
25:0,WARL,"this encodes the presence of the standard extensions, with a single bit per letter of the alphabet"


CSR : ,CSR_MEDELEG
CSR Address : ,0x302
Reset Value : , 
Bit#,Mode,Description
31:0,WARL,It has a bit position allocated for every synchronous exception` 


CSR : ,CSR_MIDELEG
CSR Address : ,0x303
Reset Value : , 
Bit#,Mode,Description
31:0,WARL,holds trap delegation bits for individual interrupts 


CSR : ,CSR_MIE
CSR Address : ,0x304
Reset Value : , 
Bit#,Mode,Description
11:11,WARL,enables machine external interrupts when set 
9:9,WARL,"enable S-mode external interrupts,        "
8:8,WARL,enables U-mode external interrupts
7:7,WARL,timer interrupt-enable bit for M-mode 
5:5,WARL,timer interrupt-enable bit for S-mode
4:4,WARL,timer interrupt-enable bit for U-mode
3:3,RW,enable M-mode Software interrupts 
1:1,WARL,enable S-mode software interrupts
0:0,WARL,enable U-mode software interrrupts 


CSR : ,CSR_MTVEC
CSR Address : ,0x305
Reset Value : , 
Bit#,Mode,Description
31:2,WARL,"holds trap vector configuration, "
1:0,WARL,impose additional alignment constraints on the value in the BASE field        


CSR : ,CSR_MCOUNTEREN
CSR Address : ,0x306
Reset Value : , 
Bit#,Mode,Description
31:3,WARL,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted."
2:2,WARL,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted"
1:1,WARL,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted        "
0:0,WARL,"When its is clear, attempts to read the cycle,time, instret, or hpmcountern register while executing in U-mode will cause an illegal instruction exception. When one of these bits is set, access to the corresponding register is permitted"


CSR : ,CSR_MSCRATCH
CSR Address : ,0x340
Reset Value : , 
Bit#,Mode,Description
31:0,RW,hold a pointer to a machine-mode hart-local context space and swapped with a user register upon entry to an M-mode trap handler


CSR : ,CSR_MEPC
CSR Address : ,0x341
Reset Value : , 
Bit#,Mode,Description
31:0,WARL,holds all valid physical and virtual addresses 


CSR : ,CSR_MCAUSE
CSR Address : ,0x342
Reset Value : , 
Bit#,Mode,Description
31:31,RW,its set if the trap was caused by an interrupt 
30:0,WLRL,hold supported exception codes        


CSR : ,CSR_MTVAL
CSR Address : ,0x343
Reset Value : , 
Bit#,Mode,Description
31:0,RW,"When a trap is taken into M-mode, mtval is either set to zero or written with exception-specific information to assist software in handling the trap.        "


CSR : ,CSR_MIP
CSR Address : ,0x344
Reset Value : , 
Bit#,Mode,Description
11:11,R,indicate external interrupts pending
9:9,RW,SEIP may be written by M-mode software to indicate to S-mode that an external interrupt is pending               
8:8,RW,enables external interrupts
7:7,R,Correspond to timer interrupt-pending bits for machine interrupt 
5:5,RW,Correspond to timer interrupt-pending bits for Supervisor interrupt  
4:4,RW,Correspond to timer interrupt-pending bits for user interrupt 
3:3,R,use for remote harts to provide machine-mode interprocessor interrupts 
1:1,RW,A hart to directly write its own SSIP bits when running in the appropriate mode
0:0,RW,A hart to directly write its own USIP bits when running in the appropriate mode 


CSR : ,CSR_MVENDORID
CSR Address : ,0xf11
Reset Value : , 
Bit#,Mode,Description
31:7,R,Contain encoding for number of one-byte continuation codes discarding the parity bit 
6:0,R,Contain encording for the final byte discarding the parity bit


CSR : ,CSR_MARCHID
CSR Address : ,0xf12
Reset Value : , 
Bit#,Mode,Description
31:0,R,Provide Encoding the base microarchitecture of the hart        


CSR : ,CSR_MIMPID
CSR Address : ,0xf13
Reset Value : , 
Bit#,Mode,Description
31:0,R,Provides unique encoding of the version of the processor implementation


CSR : ,CSR_MHARTID
CSR Address : ,0xf14
Reset Value : , 
Bit#,Mode,Description
31:0,R,contains the integer ID of the hardware thread running the code


CSR : ,CSR_MCYCLE
CSR Address : ,0xb00
Reset Value : , 
Bit#,Mode,Description
31:0,RW,lower 32-bits of 64-bit machine cycle counter


CSR : ,CSR_MCYCLE_H
CSR Address : ,0xb80
Reset Value : , 
Bit#,Mode,Description
31:0,RW,upper 32-bits of 64-bit machine cycle counter


CSR : ,CSR_MINSTRET
CSR Address : ,0xb02
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower count of the number of instructions the hart has retired


CSR : ,CSR_MINSTRET_H
CSR Address : ,0xb82
Reset Value : , 
Bit#,Mode,Description
31:0,RW,upper counts of the number of instructions the hart has retired


CSR : ,CSR_GPC1
CSR Address : ,0xb03
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC1


CSR : ,CSR_GPC1H
CSR Address : ,0xb83
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Higher 32-bits of GPC1


CSR : ,CSR_GPC2
CSR Address : ,0xb04
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC2


CSR : ,CSR_GPC2H
CSR Address : ,0xb84
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Higher 32-bits of GPC2


CSR : ,CSR_GPC3
CSR Address : ,0xb05
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC3


CSR : ,CSR_GPC3H
CSR Address : ,0xb85
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC3


CSR : ,CSR_GPC4
CSR Address : ,0xb06
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC4


CSR : ,CSR_GPC4H
CSR Address : ,0xb86
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Higher 32-bits of GPC4


CSR : ,CSR_GPC5
CSR Address : ,0xb07
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC5


CSR : ,CSR_GPC5H
CSR Address : ,0xb87
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Higher 32-bits of GPC5


CSR : ,CSR_GPC6
CSR Address : ,0xb08
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Lower 32-bits of GPC6


CSR : ,CSR_GPC6H
CSR Address : ,0xb88
Reset Value : , 
Bit#,Mode,Description
31:0,RW,Higher 32-bits of GPC6


CSR : ,CSR_GPC1_PMES
CSR Address : ,0x323
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_GPC2_PMES
CSR Address : ,0x324
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_GPC3_PMES
CSR Address : ,0x325
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_GPC4_PMES
CSR Address : ,0x326
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_GPC5_PMES
CSR Address : ,0x327
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_GPC6_PMES
CSR Address : ,0x328
Reset Value : , 
Bit#,Mode,Description
4:0,RW,event selector CSRs


CSR : ,CSR_ICACHE
CSR Address : ,0x7c0
Reset Value : , 
Bit#,Mode,Description
0:0,RW,Custom Register 


CSR : ,CSR_DCACHE
CSR Address : ,0x7c1
Reset Value : , 
Bit#,Mode,Description
0:0,RW,Custom Register


CSR : ,CSR_PMPCFG0
CSR Address : ,0x3a0
Reset Value : , 
Bit#,Mode,Description
31:24,RW,hold the configurations 
23:16,RW,hold the configurations
15:8,RW,hold the configurations
7:0,RW,hold the configurations


CSR : ,CSR_PMPCFG1
CSR Address : ,0x3a1
Reset Value : , 
Bit#,Mode,Description
31:24,RW,hold the configurations 
23:16,RW,hold the configurations
15:8,RW,hold the configurations
7:0,RW,hold the configurations


CSR : ,CSR_PMPCFG2
CSR Address : ,0x3a2
Reset Value : , 
Bit#,Mode,Description
31:24,RW,hold the configurations 
23:16,RW,hold the configurations
15:8,RW,hold the configurations
7:0,RW,hold the configurations


CSR : ,CSR_PMPCFG3
CSR Address : ,0x3a3
Reset Value : , 
Bit#,Mode,Description
31:24,RW,hold the configurations 
23:16,RW,hold the configurations
15:8,RW,hold the configurations
7:0,RW,hold the configurations


CSR : ,CSR_PMPADDR0
CSR Address : ,0x3b0
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR1
CSR Address : ,0x3b1
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR2
CSR Address : ,0x3b2
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR3
CSR Address : ,0x3b3
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR4
CSR Address : ,0x3b4
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR5
CSR Address : ,0x3b5
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR6
CSR Address : ,0x3b6
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR7
CSR Address : ,0x3b7
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR8
CSR Address : ,0x3b8
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR9
CSR Address : ,0x3b9
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR10
CSR Address : ,0x3ba
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR11
CSR Address : ,0x3bb
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR12
CSR Address : ,0x3bc
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR13
CSR Address : ,0x3bd
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR14
CSR Address : ,0x3be
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_PMPADDR15
CSR Address : ,0x3bf
Reset Value : , 
Bit#,Mode,Description
31:0,RW,encodes bits 33-2 of a 34-bit physical address


CSR : ,CSR_FFLAGS
CSR Address : ,0x1
Reset Value : , 
Bit#,Mode,Description
4:0,RW,Floating point Accrued Exceptions


CSR : ,CSR_FRM
CSR Address : ,0x2
Reset Value : , 
Bit#,Mode,Description
2:0,RW,Floating point dynamic rounding mod


CSR : ,CSR_FCSR
CSR Address : ,0x3
Reset Value : , 
Bit#,Mode,Description
7:0,RW,Floating-Point Control and Status Register


CSR : ,CSR_FTRAN
CSR Address : ,0x800
Reset Value : , 
Bit#,Mode,Description
6:0,RW,Floating Point Custom CSR


CSR : ,CSR_CYCLE
CSR Address : ,0xc00
Reset Value : , 
Bit#,Mode,Description
31:0,R,"Upper 32 bits of cycle,"


CSR : ,CSR_CYCLE_H
CSR Address : ,0xc80
Reset Value : , 
Bit#,Mode,Description
31:0,R,Upper 32 bits of cycle


CSR : ,CSR_INSTRET
CSR Address : ,0xc02
Reset Value : , 
Bit#,Mode,Description
31:0,R,Lower 32 bits of instret


CSR : ,CSR_INSTRET_H
CSR Address : ,0xc82
Reset Value : , 
Bit#,Mode,Description
31:0,R,Upper 32 bits of instret
